cloud,region,latitude,longitude,count,lat_mean,lat_median,lat_stdev,lat_variance,sunshower_lat,MaestroPanel_lat,cockroach_lat,geoloc_lat,datacenters.com_lat,jsonmaur_lat,yugabyte_lat,long_mean,long_median,long_stdev,long_variance,sunshower_long,MaestroPanel_long,cockroach_long,geoloc_long,datacenters.com_long,jsonmaur_long,yugabyte_long,source
AWS,af-south-1,-33.92,18.42,2,-33.92,-33.92,0.0,0.0,,-33.9249,,-33.92490005493164,,,,18.42,18.42,0.0,0.0,,18.4241,,18.424100875854492,,,,MaestroPanel/geoloc
AWS,ap-east-1,22.3,114.18,1,22.3,22.3,0,0,,22.302711,,,,,,114.18,114.18,0,0,,114.177216,,,,,,MaestroPanel
AWS,ap-northeast-1,35.69,139.69,5,35.7,35.69,0.21,0.04,36,35.689487,35.689487,35.69628143310547,,35.41,,139.71,139.69,0.21,0.04,140,139.691711,139.691706,139.73855590820312,,139.42,,sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
AWS,ap-northeast-2,37.57,126.98,5,37.63,37.57,0.21,0.04,38,37.566536,37.566535,37.473548889160156,,37.56,,126.91,126.98,0.16,0.03,126.97,126.977966,126.977969,126.620361328125,,126.98,,sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
AWS,ap-northeast-3,34.69,135.5,4,34.76,34.69,0.16,0.02,35,34.693737,34.693738,34.67094039916992,,,,135.62,135.5,0.23,0.05,135.97,135.502167,135.502165,135.50750732421875,,,,sunshower/MaestroPanel/geoloc/cockroach
AWS,ap-south-1,19.08,72.88,4,19.06,19.08,0.04,0.0,19,19.0760,19.075984,,,19.08,,72.88,72.88,0.01,0.0,72.9,72.8777,72.877656,,,72.88,,sunshower/MaestroPanel/cockroach/jsonmaur
AWS,ap-southeast-1,1.35,103.82,5,1.34,1.35,0.03,0.0,1.35,1.352083,1.352083,1.287950038909912,,1.37,,103.82,103.82,0.02,0.0,103.81,103.819839,103.819836,103.8517837524414,,103.8,,sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
AWS,ap-southeast-2,-33.87,151.21,5,-33.86,-33.87,0.0,0.0,-33.86,-33.868820,-33.86882,-33.86714172363281,,-33.86,,151.17,151.21,0.09,0.01,151,151.209290,151.209296,151.2071075439453,,151.2,,sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
AWS,ca-central-1,45.5,-73.6,5,47.53,45.5,4.81,23.18,45,45.5017,56.130366,45.502079010009766,,45.5,,-80.22,-73.6,14.61,213.43,-74,-73.5673,-106.346771,-73.56201171875,,-73.6,,sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
AWS,cn-north-1,40.0,116.4,1,40.0,40.0,0,0,40,,,,,,,116.4,116.4,0,0,116.4,,,,,,,sunshower
AWS,cn-northwest-1,37.0,106.0,1,37.0,37.0,0,0,37,,,,,,,106.0,106.0,0,0,106,,,,,,,sunshower
AWS,eu-central-1,50.11,8.68,5,50.07,50.11,0.06,0.0,50,50.1109,50.110922,50.11090087890625,,50,,8.61,8.68,0.37,0.13,9,8.6821,8.682127,8.682100296020508,,8,,sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
AWS,eu-north-1,59.32,18.05,3,59.21,59.32,0.19,0.03,59,59.3293,,59.315120697021484,,,,18.04,18.05,0.04,0.0,18,18.0686,,18.051319122314453,,,,sunshower/MaestroPanel/geoloc
AWS,eu-south-1,45.47,9.19,2,45.47,45.47,0.01,0.0,,45.4642,,45.47200012207031,,,,9.19,9.19,0.0,0.0,,9.1900,,9.192000389099121,,,,MaestroPanel/geoloc
AWS,eu-west-1,53.14,-7.69,5,53.13,53.14,0.15,0.02,53,53.1424,53.142367,53.35388946533203,,53,,-7.13,-7.69,0.93,0.86,-6,-7.6921,-7.692054,-6.243330001831055,,-8,,sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
AWS,eu-west-2,51.51,-0.1,5,51.31,51.51,0.28,0.08,51,51.5074,51.507351,51.5122184753418,,51,,-0.05,-0.1,0.11,0.01,0,0.1278,-0.127758,-0.12574,,-0.1,,sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
AWS,eu-west-3,48.86,2.35,5,48.69,48.86,0.38,0.15,48,48.8566,48.856614,48.8602294921875,,48.86,,2.28,2.35,0.16,0.02,2,2.3522,2.352222,2.3410699367523193,,2.35,,sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
AWS,me-south-1,26.07,50.56,1,26.07,26.07,0,0,,26.0667,,,,,,50.56,50.56,0,0,,50.5577,,,,,,MaestroPanel
AWS,sa-east-1,-23.53,-46.62,4,-23.49,-23.53,0.1,0.01,-23.5,-23.5505,-23.55052,,,-23.34,,-46.56,-46.62,0.12,0.01,-46.6,-46.6333,-46.633309,,,-46.38,,sunshower/MaestroPanel/cockroach/jsonmaur
AWS,us-east-1,38.56,-77.74,6,38.35,38.56,0.78,0.6,39,37.4316,37.478397,39.043701171875,39.02,38.13,,-77.75,-77.74,0.8,0.64,-78,-78.6569,-76.453077,-77.47419738769531,-77.47,-78.45,,datacenters.com/sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
AWS,us-east-2,40.04,-82.95,6,40.15,40.04,0.21,0.05,40,40.4173,40.417287,39.99557876586914,40.08,39.96,,-81.85,-82.95,2.65,7.0,-83,-82.9071,-76.453077,-82.99945831298828,-82.75,-83,,datacenters.com/sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
AWS,us-gov-east-1,39.0,-78.0,1,39.0,39.0,0,0,39,,,,,,,-78.0,-78.0,0,0,-78,,,,,,,sunshower
AWS,us-gov-west-1,40.0,-104.0,1,40.0,40.0,0,0,40,,,,,,,-104.0,-104.0,0,0,-104,,,,,,,sunshower
AWS,us-west-1,37.34,-121.42,6,38.86,37.34,3.5,12.25,37,36.7783,38.837522,37.330528259277344,45.85,37.35,,-121.23,-121.42,0.93,0.87,-121,-122.08,-120.895824,-121.83822631835938,-119.63,-121.96,,datacenters.com/sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
AWS,us-west-2,44.0,-120.55,5,44.74,44.0,1.11,1.24,44,44.000000,43.804133,45.73722839355469,,46.15,,-121.15,-120.55,1.58,2.51,-121,-120.500000,-120.554201,-119.81143188476562,,-123.88,,sunshower/MaestroPanel/geoloc/cockroach/jsonmaur
GCP,asia-east1,24.03,120.45,2,24.03,24.03,0.06,0.0,,,24.0717,,,,23.9919519,120.45,120.45,0.16,0.03,,,120.5624,,,,120.3300829,yugabyte/cockroach
GCP,asia-east2,22.32,114.17,1,22.32,22.32,0,0,,,,,,,22.319304,114.17,114.17,0,0,,,,,,,114.169361,yugabyte
GCP,asia-northeast1,35.69,139.69,2,35.69,35.69,0.0,0.0,,,35.689487,,,,35.689488,139.69,139.69,0.0,0.0,,,139.691706,,,,139.691706,yugabyte/cockroach
GCP,asia-northeast2,34.69,135.5,1,34.69,34.69,0,0,,,,,,,34.693725,135.5,135.5,0,0,,,,,,,135.502254,yugabyte
GCP,asia-northeast3,37.57,126.98,1,37.57,37.57,0,0,,,,,,,37.566535,126.98,126.98,0,0,,,,,,,126.977969,yugabyte
GCP,asia-south1,19.08,72.81,2,19.08,19.08,0.0,0.0,,,19.075984,,,,19.0825223,72.81,72.81,0.1,0.01,,,72.877656,,,,72.7411014,yugabyte/cockroach
GCP,asia-south2,28.7,77.1,1,28.7,28.7,0,0,,,,,,,28.704059,77.1,77.1,0,0,,,,,,,77.10249,yugabyte
GCP,asia-southeast1,1.35,103.82,2,1.35,1.35,0.0,0.0,,,1.352083,,,,1.352083,103.82,103.82,0.0,0.0,,,103.819836,,,,103.819836,yugabyte/cockroach
GCP,asia-southeast2,-6.21,106.85,1,-6.21,-6.21,0,0,,,,,,,-6.208763,106.85,106.85,0,0,,,,,,,106.845599,yugabyte
GCP,australia-southeast1,-33.87,151.21,2,-33.87,-33.87,0.0,0.0,,,-33.86882,,,,-33.867139,151.21,151.21,0.0,0.0,,,151.209296,,,,151.207114,yugabyte/cockroach
GCP,australia-southeast2,-37.81,144.96,1,-37.81,-37.81,0,0,,,,,,,-37.813628,144.96,144.96,0,0,,,,,,,144.963058,yugabyte
GCP,europe-central2,52.23,21.01,1,52.23,52.23,0,0,,,,,,,52.229676,21.01,21.01,0,0,,,,,,,21.012229,yugabyte
GCP,europe-north1,60.57,27.21,1,60.57,60.57,0,0,,,,,,,60.5695912,27.21,27.21,0,0,,,,,,,27.2097431,yugabyte
GCP,europe-west1,50.47,3.78,2,50.47,50.47,0.03,0.0,,,50.44816,,,,50.489824,3.78,3.78,0.06,0.0,,,3.81886,,,,3.7378805,yugabyte/cockroach
GCP,europe-west2,51.5,-0.13,2,51.5,51.5,0.01,0.0,,,51.507351,,,,51.500152,-0.13,-0.13,0.0,0.0,,,-0.127758,,,,-0.126236,yugabyte/cockroach
GCP,europe-west3,50.11,8.68,2,50.11,50.11,0.0,0.0,,,50.110922,,,,50.111512,8.68,8.68,0.0,0.0,,,8.682127,,,,8.680506,yugabyte/cockroach
GCP,europe-west4,53.44,6.82,2,53.44,53.44,0.0,0.0,,,53.4386,,,,53.4356948,6.82,6.82,0.03,0.0,,,6.8355,,,,6.7980783,yugabyte/cockroach
GCP,europe-west6,47.38,8.54,2,47.38,47.38,0.0,0.0,,,47.3769,,,,47.376887,8.54,8.54,0.0,0.0,,,8.5417,,,,8.541694,yugabyte/cockroach
GCP,northamerica-northeast1,50.84,-90.11,2,50.84,50.84,7.48,55.89,,,56.130366,,,,45.5581968,-90.11,-90.11,22.96,527.36,,,-106.346771,,,,-73.8703852,yugabyte/cockroach
GCP,northamerica-northeast2,43.65,-79.38,1,43.65,43.65,0,0,,,,,,,43.653226,-79.38,-79.38,0,0,,,,,,,-79.383184,yugabyte
GCP,southamerica-east1,-23.04,2.12,2,-23.04,-23.04,0.72,0.53,,,-23.55052,,,,-22.5255058,2.12,2.12,68.95,4754.36,,,-46.633309,,,,50.8793713,yugabyte/cockroach
GCP,us-central1,41.63,-94.75,2,41.63,41.63,0.57,0.32,,,42.032974,,,,41.2326957,-94.75,-94.75,1.65,2.73,,,-93.581543,,,,-95.9167207,yugabyte/cockroach
GCP,us-east1,33.5,-80.67,2,33.5,33.5,0.48,0.23,,,33.836082,,,,33.1637261,-80.67,-80.67,0.69,0.48,,,-81.163727,,,,-80.1845003,yugabyte/cockroach
GCP,us-east4,38.25,-76.98,2,38.25,38.25,1.1,1.2,,,37.478397,,,,39.0300218,-76.98,-76.98,0.75,0.56,,,-76.453077,,,,-77.5121424,yugabyte/cockroach
GCP,us-west1,44.71,-120.88,2,44.71,44.71,1.28,1.63,,,43.804133,,,,45.6094756,-120.88,-120.88,0.46,0.21,,,-120.554201,,,,-121.2088799,yugabyte/cockroach
GCP,us-west2,34.05,-118.24,1,34.05,34.05,0,0,,,,,,,34.052235,-118.24,-118.24,0,0,,,,,,,-118.243683,yugabyte
GCP,us-west3,40.76,-111.89,1,40.76,40.76,0,0,,,,,,,40.7608,-111.89,-111.89,0,0,,,,,,,-111.891,yugabyte
GCP,us-west4,36.17,-115.14,1,36.17,36.17,0,0,,,,,,,36.1699,-115.14,-115.14,0,0,,,,,,,-115.1398,yugabyte
